Year,GEO_ID,UrbanCode,UrbanName,UrbanTypeDescription,UrbanTypeCode,TotalPopulationEstimate
2018,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,123028
2018,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,6960
2018,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6702
2018,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8702
2018,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3670
2018,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,8592
2018,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,1010680
2018,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6786
2018,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,92834
2018,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,43894
2019,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,15223
2019,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,14027
2019,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6860
2019,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1470179
2019,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,5009099
2019,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,57743
2019,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4382
2019,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4359
2019,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10116
2019,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,124491
2019,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,7349
2019,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4484
2019,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7240
2019,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105755
2019,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,213976
